OBJECTID,PUD_NAME,PUD_WEB_URL,PUD_CHANGE_NARRATIVE,PUD_ZONING,PUD_STATUS,PUD_CASE_NUMBER,SHAPEAREA,SHAPELEN,GLOBALID,WARD
2769,Comstock Sixth Street LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Set down April 13, 2015, Approved DC Register 1/15/16",R-4,Final,15-04,0,0,{37703619-3812-4D50-B727-04D818261DD3},Ward 5
2770,MRP Realty,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 4/27/15,HS-H/C-2-B,Final,15-07,0,0,{2A827DB9-A138-450F-9F79-7D9B4F23B77D},Ward 6
2771,EYA LLC & St. Pauls College,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-B,Final,07-27,0,0,{BB40D230-D9A6-4EAB-B79E-97DEB11020B1},Ward 5
2772,View 14 Investments LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,PUD Modification DC Register July 3 2014,C-2-B,Final,05-22A,0,0,{22D88BA1-849C-47A9-B0DF-0DD255DDB150},Ward 1
2773,BP 1330 Connecticut Avenue LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,DC Register 7/30/15,C-3-B,Final,80-13A,0,0,{49DFCEF2-13D6-4944-8365-FC718EE8C92B},Ward 2
2774,Conference Center Associates I LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-A,Pending,08-33C,0,0,{95A2A580-EEE5-48BE-A481-8B1647579345},Ward 5
2775,Capitol Crossing IV LLC & Archdiocese of Washington Holy Rosary,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Case # 08-34C, Setdown July 29, 2013, 2nd Stage PUD",HR/C-4,Final,08-34C,0,0,{5082077A-175D-4799-B3D3-0C0E9EC2AAA5},Ward 6
2776,1250 4th St Edens LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,DC Register July 3 2015,C-3-C,Final,14-07,0,0,{E2994B35-5043-41E2-82FC-E2C8899A3C97},Ward 5
2777,Jemals CDC LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Set Down 9/30/14, DC Register 7/30/15",HS-H/C-2-B,Final,14-14,0,0,{59DD8D5E-48A1-4F18-BA23-6034B282A00D},Ward 6
2778,Barry Place Partners LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Set Down 1/12/14, DC Register 7/30/15",C-2-B,Final,14-21,0,0,{B2F6BB0E-80D7-4384-9EF4-5FFAFDD2A55B},Ward 1
2779,MHI-Brookland LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Set Down 6/28/15,R-5-B,Pending,15-02,0,0,{8F8AB6DB-B638-4D88-910E-41FCEA71093D},Ward 5
